Ontology ID	Issues / Notes	Reported	label	Type	"term replaced by
ID"	term replaced by	deprecated	member of	is about	parent class ID	parent class	Subclass ID	Subclass axiom	created	english exact syn.	definition	definition source	example of usage	term editor	curation status	editor note	comment	in subset	database cross reference	see also	Equivalence axiom	Git Branch	image	english broad synonym	english narrow synonym	english related synonym	British english syn.	Italian syn.	French syn.	German syn.	Spanish syn.	Portuguese syn.
GENEPIO:0100276		Y	intra-state/ intra-provincial travel surveillance strategy	class						GENEPIO:0100013	domestic travel surveillance			2022-01-19T18:23:15.862Z		A domestic travel-associated surveillance strategy in which individuals are selected if their travel occurred between states/provinces within a nation.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100014		Y	international travel surveillance strategy	class						GENEPIO:0100012	travel-associated surveillance			2022-01-19T18:23:15.862Z		A travel-associated surveillance strategy in which individuals are selected if they have a travel history outside of the reporting country in a specified number of days before onset of symptoms.	https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.37.2001641		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100015		Y	surveillance of international border crossing by air travel or ground transport strategy	class						GENEPIO:0100014	international travel surveillance			2022-01-19T18:23:15.862Z		An international travel-associated surveillance strategy in which individuals are selected if they have a travel history of crossing an international border via air travel or ground transport.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100016		Y	surveillance of international border crossing by air travel strategy	class						GENEPIO:0100014	international travel surveillance			2022-01-19T18:23:15.862Z		An international travel-associated surveillance strategy in which individuals are selected if they have a travel history of crossing an international border via air travel.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100017		Y	surveillance of international border crossing by ground transport strategy	class						GENEPIO:0100014	international travel surveillance			2022-01-19T18:23:15.862Z		An international travel-associated surveillance strategy in which individuals are selected if they have a travel history of crossing an international border via ground transport.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100018		Y	surveillance from international worker testing strategy	class						GENEPIO:0100014	international travel surveillance			2022-01-19T18:23:15.862Z		A travel-associated surveillance strategy in which individuals are selected if they have a travel history outside of the reporting country in a specified number of days before onset of symptoms.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100019	Likely redundant with "purpose of sampling" "cluster/outbreak investigation" so both will point to the same term.	-	obsolete: cluster/outbreak investigation strategy	class	GENEPIO:0100001	cluster/outbreak investigation strategy	TRUE							2022-01-19T18:23:15.862Z									Covid-19														
GENEPIO:0100020		Y	multi-jurisdictional outbreak investigation strategy	class						GENEPIO:0100001	cluster/outbreak investigation			2022-01-19T18:23:15.862Z		An outbreak investigation sampling strategy in which individuals are chosen for investigation into a disease outbreak that has connections to two or more jurisdictions.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100021		Y	intra-jurisdictional outbreak investigation strategy	class						GENEPIO:0100001	cluster/outbreak investigation			2022-01-19T18:23:15.862Z		An outbreak investigation sampling strategy in which individuals are chosen for investigation into a disease outbreak that only has connections within a single jurisdiction.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100022	Likely redundant with "purpose of sampling" "research" so both will point to the same term.	-	obsolete: research strategy	class	GENEPIO:0100003	research strategy	TRUE							2022-01-19T18:23:15.862Z									Covid-19														
GENEPIO:0100023		Y	viral passage experiment strategy	class						GENEPIO:0100003	research			2022-01-19T18:23:15.862Z		A research sampling strategy in which individuals are sampled in order to perform a viral passage experiment.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	environmental material																																				
GENEPIO:0100025	Minting a temporary “personal protective equipment gown” (GENEPIO:0100025) under “personal protective clothing item” (OBI:0002800), which is where we expect the term to be added if OBI accepts our NTR.	Y	personal protective equipment gown	class						OBI:0002800	personal protective clothing item			2022-01-19T18:23:15.862Z	PPE gown	A personal protective clothing item which is a gown worn in order to provide a barrier between wearer from contact with potentially infectious liquid and solid material.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	collection device																																				
GENEPIO:0100026		Y	collection cup	class						OBI:0002814	specimen collection device			2022-01-19T18:23:15.862Z		A device which is used to collect liquid samples.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100103		Y	filter	class						OBI:0002814	specimen collection device			2022-01-19T18:23:15.862Z		A manufactured product which separates solids from fluids by adding a medium through which only a fluid can pass.	http://purl.obolibrary.org/obo/NCIT_C41199		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100027		Y	swab	class						OBI:0002814	specimen collection device			2022-01-19T18:23:15.862Z		A device which is a soft, absorbent material mounted on one or both ends of a stick.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	collection method																																				
GENEPIO:0100028		Y	suprapubic aspiration	class						NCIT:C15631	Aspiration			2022-01-19T18:23:15.862Z		An aspiration process which involves putting a needle through the skin just above the pubic bone into the bladder to take a urine sample.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100029		Y	tracheal aspiration	class						NCIT:C15631	Aspiration			2022-01-19T18:23:15.862Z		An aspiration process which collects tracheal secretions.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100030		Y	vacuum aspiration	class						NCIT:C15631	Aspiration			2022-01-19T18:23:15.862Z		An aspiration process which uses a vacuum source to remove a sample.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100031		Y	air filtration	class						OBI:0600005	collecting specimen from organism			2022-01-19T18:23:15.862Z		A filtration process which removes solid particulates from the air via an air filtration device.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100032		Y	bronchoalveolar lavage	class						OBI:0600044	lavage			2022-01-19T18:23:15.862Z	BAL	The collection of bronchoalveolar lavage fluid (BAL) from the lungs.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100033		Y	gastric lavage	class						OBI:0600044	lavage			2022-01-19T18:23:15.862Z		The administration and evacuation of small volumes of liquid through an orogastric tube to remove toxic substances within the stomach.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100034		Y	saline gargle	class						GENEPIO:0002116	rinsing for specimen collection			2022-01-19T18:23:15.862Z	mouth rinse and gargle	A collecting specimen from organism process in which a salt water solution is taken into the oral cavity, rinsed around, and gargled before being deposited into an external collection device.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100035		Y	scraping	class						OBI:0600005	collecting specimen from organism			2022-01-19T18:23:15.862Z		A specimen collection process in which a sample is collected by scraping a surface with a sterile sampling device.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100036		Y	finger prick	class						OBI:0600005	collecting specimen from organism			2022-01-19T18:23:15.862Z		A collecting specimen from organism process in which a skin site free of surface arterial flow is pierced with a sterile lancet, after a capillary blood droplet is formed a sample is captured in a capillary tupe.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100038		Y	washout tear collection	class						OBI:0600005	collecting specimen from organism			2022-01-19T18:23:15.862Z		A collecting specimen from organism process  in which fluid is added to the eye prior to sample collection, effectively "washing out" ocular surface molecules.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	specimen processing																																				
GENEPIO:0100286	Add as a parent term for the picklist category.	Y	specimen processing	class						GENEPIO:0001790	specimen datum			2022-01-19T18:23:15.862Z		A specimen datum which describes the collection, isolate production, sequencing, or storage of specimen material or data.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion			Covid-19														
GENEPIO:0100039		Y	virus passage	class						GENEPIO:0100286	specimen processing			2022-01-19T18:23:15.862Z		The process of growing a virus in serial iterations.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100040		Y	RNA re-extraction (post RT-PCR)	class						GENEPIO:0100286	specimen processing			2022-01-19T18:23:15.862Z	RNA re-extraction (post reverse transcription-polymerase chain reaction)	A secondary RNA extraction after performing reverse transcription polymerase chain reaction (RT-PCR). The desired output is RNA.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	lab host																																				
GENEPIO:0100297	Made obsolete for CLO:0000001	Y	obsolete: cell line cell	class	CLO:0000001	cell line cell	TRUE							2022-01-19T18:23:15.862Z		A cultured cell that is part of a cell line - a stable and homogeneous population of cells with a common biological origin and propagation history in culture	CLO:0000001		0000-0002-9578-0788|0000-0002-8844-9165		Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100041		Y	293/ACE2 cell line	class						CLO:0000001	cell line cell			2022-01-19T18:23:15.862Z	293/hACE2 cell line	293 cells stably expressing the SARS-CoV receptor protein, angiotensin-converting enzyme 2 (ACE2).			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100042		Y	EFK3B cell line	class						CLO:0000001	cell line cell			2022-01-19T18:23:15.862Z	Efk3B cell|Efk-3B clone 3B cell|Eptesicus fucus kidney 3B cell	Eptesicus fucus (big brown bat) kidney 3B cells.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100043		Y	HRCE cell line	class						CLO:0000001	cell line cell			2022-01-19T18:23:15.862Z	human renal cortical epithelial cell line	Normal human primary renal cortical epithelial cells.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100044		Y	VeroE6/TMPRSS2 cell line	class						CLO:0000001	cell line cell			2022-01-19T18:23:15.862Z	Vero E6/TMPRSS2 cell|Vero-E6/TMPRSS2 cell	VeroE6 cells expressing the transmembrane serine protease TMPRSS2.	https://cellbank.nibiohn.go.jp/~cellbank/en/search_res_det.cgi?ID=8668		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	biomaterial extracted																																				
GENEPIO:0100104	Could have an axiom relation to "extraction". Temporary parent term is the highest term we have on the branch it will eventually be on (once OBI imports are done): “processed material” (OBI:0000047).	Y	mRNA extract	class						OBI:0000047	processed material			2022-01-19T18:23:15.862Z	messenger RNA extract	An extract which is the output of an extraction process in which messenger RNA molecules are isolated from a specimen.			0000-0002-9578-0788|0000-0002-1107-9135	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	host health status details																																				
GENEPIO:0100288	Discussed with Damion whether it should be subject/host/case in the label and concluded it should be host. Included “time of specimen collection” because that is appropriate given the definition Emma provided. Added “datum” to the end of all the terms to make sure people don’t accidentally use these for other applications where these terms may not be applicable.	Y	host health status details at time of specimen collection	class						GENEPIO:0001222	patient as host datum			2022-01-19T18:23:15.862Z		An organism datum which contains additional contextual details regarding the health or disease status of a host at the time of sample collection.							Covid-19														
GENEPIO:0100045		Y	hospitalized (non-ICU) datum	class						GENEPIO:0100288	host health status details at time of specimen collection			2022-01-19T18:23:15.862Z	Hospitalized (non-intensive care units)	The condition of being treated as a patient in a hospital without admission to an intensive care unit (ICU).			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100046		Y	hospitalized (ICU) datum	class						GENEPIO:0100288	host health status details at time of specimen collection			2022-01-19T18:23:15.862Z	Hospitalized (intensive care units)	The condition of being treated as a patient in a hospital intensive care unit (ICU).			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100047		Y	medically isolated datum	class						GENEPIO:0100288	host health status details at time of specimen collection			2022-01-19T18:23:15.862Z		Separation of people with a contagious disease from population to reduce the spread of the disease.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338113/		0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
GENEPIO:0100048		Y	medically isolated (negative pressure) datum	class						GENEPIO:0100047	medically isolated			2022-01-19T18:23:15.862Z		Medical isolation in a negative pressure environment: 6 to 12 air exchanges per hour, and direct exhaust to the outside or through a high efficiency particulate air filter.			0000-0002-9578-0788	requires discussion	Planned Obsolescence: this term is a placeholder for a term requested in another ontology. Once the appropriate ontology term is available, this term’s identifier will be obsoleted with a “term replaced by” id of the other term.		Covid-19														
	host age bin																																				
GENEPIO:0100060	Damion agreed with my choice of placement and the creation of the parent term. Important since these will likely remain in GENEPIO. Labels ended up unfortunately verbose. These sort of terms could probably be instances, but we’re going with classes for now.	Y	subject age at time of specimen collection bin	class						GENEPIO:0001775	subject age at time of specimen collection			2022-01-19T18:23:15.862Z		Age of host at the time of sampling, expressed as an age group in years.			0000-0002-9578-0788|0000-0002-1107-9135	ready for release			Covid-19														
GENEPIO:0100049	These terms will probably remain in GENEPIO	Y	subject age at time of specimen collection bin (0 - 9)	class						GENEPIO:0100060	subject age at time of specimen collection bin			2022-01-19T18:23:15.862Z		An age group that stratifies the age of a case to be between 0 to 9 years old (inclusive).			0000-0002-9578-0788	ready for release			Covid-19														
