inst_id	|	inst_code	|	aka	|	inst_name	|	country	|	address	|	phone	|	fax	|	record_source	|	home_url	|	url_rule	|	comments	|	collection_type	|	qualifier_type	|	unique_name
116	|	CPPLIP	|	      	|	Centro de Pesquisas Paleontologias Llewellyn Ivor Price	|	Brazil	|	Peiropolias	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CPPLIP
117	|	CPS	|	      	|	Wyoming-Colorado Paleontological Society	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CPS<USA-WY/CO>
118	|	CS	|	      	|	Musee des Dinosaures d'Esperaza (Aude)	|	France	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CS<FRA>
119	|	CSGP	|	      	|	Servicos Geologicos de Portugal	|	Portugal	|	Lisboa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CSGP
120	|	CSPM	|	      	|	Colegio Lasalle Palma de Mallorca	|	Spain	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CSPM
121	|	CUG	|	      	|	Collection Universite Poitiers	|	France	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CUG
122	|	CUP	|	      	|	Catholic University of Peking	|	China	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CUP<CHN>
123	|	CV	|	      	|	Municipal Museum of Chungking	|	China	|	Sichuwan Province	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CV
124	|	DGBU	|	      	|	Department of Geology, Pusan National University	|	Korea	|	Pusan National University	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DGBU
127	|	DINO	|		|	Dinosaur National Monument	|	USA	|	Utah-Colorado	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	DINO
128	|	DIS	|	      	|	Dinamation International Society	|	      	|	Fruita, Colorado	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DIS
129	|	DM	|		|	The Dinosaur Museum	|	USA	|	Blanding Utah	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	DM<USA-UT>
130	|	DMNS	|	Denver Museum of Natural History	|	Denver Museum of Nature and Science	|	USA	|	2001 Colorado Blvd. Denver, CO 80205	|	303.370.6000	|		|	      	|	http://www.dmns.org/	|	      	|	= DMNH<USA-CO>; = DNHC	|	museum	|	specimen_voucher	|	DMNS
131	|	DNPM	|	      	|	Setor de Paleontologia do Departamento Nacional de Producao Mineral	|	Brazil	|	Rio de Janeiro	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DNPM
132	|	DORCM	|	      	|	Dorset Royal County Museum	|	England	|	Geological Survey	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DORCM
133	|	DPMWA	|		|	Dorthy Page Museum of Wasilla	|	USA	|	Alaska	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	DPMWA
134	|	DZVMLP	|	      	|	Departamento Cientifico de Zoologia de Vertebrados	|	Argentina	|	Facultad de Ciencias Naturales y Museo, LA Plata	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	DZVMLP
135	|	EJ	|		|	?Ein Yabrud collection catalogue entries at The Hebrew University	|	Israel	|	Jerusalem	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	EJ
136	|	ELM	|	      	|	East London Museum	|	South Africa	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ELM
137	|	ET	|	      	|	East Texas State University	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ET
138	|	FC-DPV	|	      	|	Departmento de Paleontologia, Facultad de Ciencias	|	Uruguay	|	Montevideo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FC-DPV
139	|	FCM	|	      	|	Facultad de Ciencias Marinas	|	Mexico	|	Universidad Autonoma de Baja California, Ensenda, Baja California	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FCM
142	|	FG	|	      	|	Palaontologische Hauptsammlung der Bergakadmie	|	Germany	|	Freiburg	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FG
143	|	FGG	|		|	Faculty of Geology and Geophysis	|	Romania	|	University of Bucharest	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	FGG
144	|	FGGUB	|		|	Facultatea de Geologie si Geofisca	|	Romania	|	Universitatea Bucuresti, Bucharest	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	FGGUB
145	|	FH	|	      	|	Fort Hays	|	      	|	Kansas State College Museum	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FH<USA-KS>
146	|	FIP	|	      	|	Florida Institute of Paleontology	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FIP
149	|	FHSM	|	      	|	Fort Hays Sternberg Museum	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FHSM
150	|	FPM	|	      	|	Fukui Prefectural Museum	|	Japan 	|	Fukui	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FPM
151	|	MNUFR	|	      	|	Mongolian National University	|	Mongolia	|	Mongolian National University, Ulann-baatar	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	MNUFR
152	|	FSL	|	      	|	Collections de la Faculte des Sciences de Lyon	|	France	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	FSL
154	|	GC	|	      	|	Goucher College	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GC<USA-MD>
155	|	GGM	|	      	|	Gosudarstvennyi Geologicheskii Musei - State Geological Museum	|	Russia	|	Moscow	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GGM
156	|	GHG	|	      	|	Council for Geosciences	|	South Africa	|	Pretoria	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GHG
157	|	GI-SPS	|	      	|	Geological Institute, Section of Palaeontology and Stratigraphy	|	Mongolia	|	Academy of Sciences of the Mongolia, Ulaan Bator	|	      	|	      	|	      	|	      	|	      	|	GI, GIN, GI SPS	|	museum	|	specimen_voucher	|	GI-SPS
158	|	GIUV	|	      	|	Geological Institute, University of Vienna	|	Austria	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GIUV
159	|	GLANH	|		|	Hunterian Museum	|	UK	|	Glasgow, Scotland	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	GLANH
160	|	GMAU	|	      	|	Geological Museum of Amsterdam University	|	Netherlands	|	Ameserdman	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMAU
161	|	GMHH	|	      	|	Geological Museum of Heilongjang Province	|	China	|	Harbin	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMHH
162	|	GMH	|	      	|	Sammlung Jacobi des Geiseltalmuseum Halle	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMH
163	|	GMNH-PV	|	      	|	Paleo-Vertebrate Collection	|	Japan	|	Gunma Museum of Natural History	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMNH-PV
164	|	GMUM	|	      	|	Institut fuer Palaeontologie und Geologisches Museum der Universitat	|	Germany	|	Mnster	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMUM
165	|	GMUV	|	      	|	Geological Museum, University of Vienna	|	Austria	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GMUV
166	|	GLAHM	|	      	|	University of Glasgow, Hunterian Museum	|	England	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GLAHM
167	|	GOE	|	      	|	Institut und Museum fuer Geologie und Palaeontologie	|	Germany	|	Georg-August Universitt, Gottingen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GOE<DEU>
168	|	GP	|	      	|	Instituto de Geociencias, Universidade de Sao Paulo	|	Brazil	|	Sao Paulo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GP
169	|	GPI	|	      	|	Geologisch-Palaeontologisches Institut	|	Germany	|	Gttingen	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GPI
170	|	GPIH	|	      	|	Geologisch-Palaeontologiches Institut der Universitt Haemburg	|	Germany	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GPIH
171	|	GPIM	|	      	|	Lehreinheit Palaeontologisches, Institut fuer Geowissenschaften	|	Germany	|	Mainz	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GPIM
172	|	GPIT	|		|	Institut und Museum fur Geologie und Palaontologie, Universitat Tubingen	|	Germany	|	Tbingen	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	GPIT
173	|	GPMK	|	      	|	Geologisch-Palaontologisches Institut und Museum	|	      	|	Kiel	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GPMK
174	|	GRMP	|	      	|	Central Geological Research Museum	|	Russia	|	Saint Petersburg	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GRMP
175	|	GSC	|	      	|	Geological Survey of Canada	|	Canada	|	Ottawa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GSC
176	|	GSI	|	      	|	Geological Survey of India	|	India	|	Hayderabd	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GSI
177	|	GSM	|	      	|	Geologic Museum	|	England	|	Institute of Geologic Sciences, London	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GSM
178	|	GSN	|	      	|	Geological Survey of Nambia	|	Nambia	|	Windhoek	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GSN
179	|	GSP	|	      	|	Geological Survey of Portugal	|	Portugal	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	GSP
180	|	HGM	|	      	|	Hunan Geological Museum	|	China	|	Changsha	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HGM
181	|	H-GSP	|		|	Howard University-Geological Survey of Pakistan Project	|	USA	|	Washington, D.C	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	H-GSP
183	|	HM	|	      	|	Humbolt Museum	|	Germany	|	Basel	|	      	|	      	|	      	|	      	|	      	|	HM, HMN MB	|	museum	|	specimen_voucher	|	HM<DEU>
184	|	HMH	|	      	|	Hoebarth Museum Horn	|	Austria	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HMH
185	|	HMN	|	      	|	Humbolt Museum fur Naturkunde, East Berlin	|	Germany	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HMN
186	|	HMNH	|	      	|	Hayashibara Museum of Natural History	|	Japan	|	Okayama	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HMNH
187	|	HOLZ	|	      	|	Paleontological Collection	|	Germany	|	Museum Hauf, Holzmaden	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	HOLZ
190	|	IBEF	|	      	|	Museum of the Izumi Board of Education	|	Japan	|	Fukui Prefecture	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	IBEF
